index,feature,ground_truth,predicted
6057,age,-1,-1
6093,age,-1,-1
6111,age,-1,-1
6141,age,-1,-1
6147,age,-1,-1
6174,age,-1,-1
6216,age,-1,-1
6289,age,-1,-1
6299,age,1,-1
6330,age,-1,-1
6357,age,-1,-1
6570,age,-1,-1
6765,age,-1,-1
6767,age,1,-1
6774,age,-1,1
6777,age,-1,-1
6804,age,-1,-1
6822,age,-1,-1
6834,age,-1,-1
6843,age,-1,-1
6930,age,-1,-1
7050,age,-1,-1
7131,age,-1,-1
7137,age,-1,-1
7185,age,-1,-1
7242,age,-1,-1
7245,age,-1,-1
7299,age,-1,-1
7320,age,-1,1
7332,age,-1,-1
7343,age,1,1
7356,age,-1,-1
7365,age,-1,-1
7374,age,-1,-1
7386,age,-1,-1
7410,age,-1,-1
7431,age,-1,-1
7452,age,-1,-1
7485,age,-1,-1
7488,age,-1,-1
7497,age,-1,-1
7500,age,-1,-1
7513,age,1,1
7551,age,-1,-1
7596,age,-1,-1
7608,age,-1,-1
7617,age,-1,-1
7686,age,-1,-1
7719,age,-1,1
7722,age,-1,-1
7782,age,-1,-1
7803,age,-1,-1
7814,age,-1,-1
7830,age,-1,-1
7883,age,1,1
7914,age,-1,-1
8007,age,-1,1
8046,age,-1,-1
8055,age,-1,-1
8064,age,-1,-1
8082,age,-1,-1
8103,age,-1,-1
8106,age,-1,-1
8121,age,-1,-1
8127,age,-1,-1
8132,age,-1,-1
8160,age,-1,-1
8181,age,-1,-1
8217,age,-1,-1
8237,age,1,1
8259,age,-1,-1
8265,age,-1,-1
8277,age,-1,1
8280,age,-1,-1
8316,age,-1,-1
8346,age,-1,-1
8394,age,-1,1
8406,age,-1,-1
8427,age,-1,1
8463,age,-1,-1
8475,age,-1,-1
8566,age,1,1
8571,age,-1,-1
8597,age,-1,-1
8649,age,-1,-1
8652,age,-1,-1
8654,age,1,-1
8695,age,-1,-1
8850,age,-1,-1
8964,age,-1,-1
8994,age,-1,-1
9006,age,-1,-1
9066,age,-1,-1
9084,age,-1,-1
9153,age,-1,-1
9156,age,-1,-1
9195,age,-1,1
9198,age,-1,-1
9228,age,-1,-1
9294,age,-1,-1
9303,age,-1,-1
9339,age,-1,-1
9361,age,1,1
9375,age,-1,-1
9449,age,1,1
9477,age,-1,-1
9483,age,-1,-1
9546,age,-1,-1
9578,age,-1,-1
9594,age,-1,-1
9603,age,-1,-1
9618,age,-1,-1
9624,age,-1,-1
9639,age,-1,-1
9657,age,-1,-1
9666,age,-1,-1
9671,age,1,1
9672,age,-1,-1
9687,age,-1,-1
9708,age,-1,-1
9714,age,-1,-1
9738,age,-1,-1
9756,age,-1,-1
9798,age,-1,-1
9837,age,-1,-1
9894,age,-1,-1
9948,age,-1,-1
9969,age,-1,-1
10050,age,-1,-1
10071,age,-1,-1
10134,age,-1,-1
10172,age,1,-1
10185,age,-1,-1
10218,age,-1,-1
10221,age,-1,-1
10299,age,-1,-1
10305,age,-1,-1
10344,age,-1,-1
10365,age,-1,-1
10374,age,-1,-1
10392,age,-1,-1
10395,age,-1,1
10419,age,-1,-1
10476,age,-1,-1
10485,age,-1,-1
10527,age,-1,-1
10533,age,-1,-1
10551,age,-1,-1
10566,age,-1,-1
10596,age,-1,1
10653,age,-1,-1
10710,age,-1,-1
10737,age,-1,-1
10863,age,-1,-1
10902,age,-1,1
10947,age,-1,-1
10950,age,-1,-1
10953,age,-1,-1
10956,age,-1,-1
10973,age,1,-1
10983,age,-1,-1
10986,age,-1,-1
11013,age,-1,-1
11046,age,1,1
11058,age,-1,-1
11100,age,-1,-1
11106,age,-1,-1
11154,age,-1,-1
11253,age,-1,-1
11280,age,-1,1
11295,age,-1,-1
11352,age,-1,-1
11355,age,-1,-1
11373,age,-1,-1
11397,age,-1,-1
11415,age,-1,-1
11430,age,-1,-1
11442,age,-1,-1
11562,age,-1,1
11589,age,-1,1
11640,age,-1,-1
11694,age,-1,-1
11763,age,-1,-1
11874,age,-1,-1
11910,age,-1,-1
11964,age,-1,-1
12036,age,-1,-1
12057,age,-1,-1
12096,age,-1,-1
12102,age,-1,-1
12180,age,-1,-1
12228,age,-1,-1
12243,age,-1,-1
12249,age,-1,1
12276,age,-1,-1
12292,age,1,1
12312,age,-1,-1
12345,age,-1,-1
12357,age,-1,-1
12384,age,-1,1
12393,age,-1,-1
12405,age,-1,-1
12411,age,-1,-1
12420,age,-1,-1
12465,age,-1,-1
12600,age,-1,-1
12624,age,-1,-1
12639,age,-1,1
12650,age,1,-1
12678,age,-1,-1
12691,age,1,1
12692,age,1,1
12693,age,-1,-1
12702,age,-1,-1
12768,age,-1,-1
12843,age,-1,-1
12855,age,-1,-1
12885,age,-1,-1
12900,age,-1,-1
12912,age,-1,-1
12984,age,-1,-1
12990,age,-1,-1
13005,age,-1,-1
13050,age,-1,-1
13077,age,-1,-1
13086,age,-1,-1
13170,age,-1,-1
13206,age,-1,-1
13449,age,-1,-1
13470,age,-1,-1
13485,age,-1,-1
13518,age,-1,-1
13527,age,-1,-1
13536,age,-1,-1
13569,age,-1,-1
13584,age,-1,-1
13587,age,-1,-1
13629,age,-1,-1
13635,age,-1,-1
13659,age,-1,-1
13785,age,-1,-1
13797,age,-1,-1
13836,age,-1,-1
13893,age,-1,-1
13896,age,-1,-1
13926,age,-1,-1
13956,age,-1,-1
13962,age,-1,-1
13993,age,1,1
14001,age,-1,-1
14034,age,-1,-1
14061,age,-1,-1
14076,age,-1,-1
14082,age,-1,-1
14118,age,-1,-1
14172,age,-1,-1
14178,age,-1,-1
14190,age,-1,-1
14244,age,-1,-1
14265,age,-1,-1
14283,age,-1,-1
14337,age,-1,-1
14367,age,-1,-1
14388,age,-1,-1
14418,age,-1,-1
14451,age,-1,-1
14454,age,-1,-1
14460,age,-1,-1
14481,age,-1,-1
14508,age,-1,-1
14574,age,-1,1
14589,age,-1,-1
14700,age,-1,-1
14706,age,-1,-1
14784,age,-1,-1
14892,age,-1,-1
14916,age,-1,1
14925,age,-1,-1
14937,age,-1,-1
14955,age,-1,-1
14958,age,-1,-1
14967,age,-1,-1
15015,age,-1,-1
15054,age,-1,1
15057,age,-1,-1
15108,age,-1,-1
15183,age,-1,1
15231,age,-1,-1
15252,age,-1,-1
15255,age,-1,-1
15315,age,-1,-1
15318,age,-1,-1
15339,age,-1,-1
15351,age,-1,-1
15393,age,-1,1
15408,age,-1,-1
15441,age,-1,-1
15468,age,-1,1
15498,age,-1,-1
15522,age,-1,-1
15660,age,-1,-1
15732,age,-1,1
15834,age,-1,1
15864,age,-1,1
15906,age,-1,-1
15921,age,-1,1
15951,age,-1,1
15972,age,-1,-1
15987,age,-1,-1
15996,age,-1,-1
16053,age,-1,-1
16086,age,-1,-1
16104,age,-1,-1
16106,age,1,1
16134,age,-1,-1
16179,age,-1,-1
16191,age,-1,-1
16197,age,-1,-1
16290,age,-1,-1
16335,age,-1,-1
16359,age,-1,-1
16365,age,-1,-1
16422,age,-1,-1
16458,age,-1,-1
16554,age,-1,-1
16694,age,1,1
16764,age,-1,-1
16806,age,-1,-1
16863,age,-1,-1
16911,age,-1,-1
16917,age,-1,-1
16923,age,-1,-1
16926,age,-1,-1
16947,age,-1,-1
16950,age,-1,-1
16989,age,-1,-1
16998,age,-1,-1
17010,age,-1,-1
17127,age,-1,-1
17154,age,-1,-1
17280,age,-1,-1
17343,age,-1,-1
17394,age,-1,-1
17442,age,-1,-1
17466,age,-1,-1
17514,age,-1,-1
17568,age,-1,-1
17595,age,-1,-1
17625,age,-1,-1
17652,age,-1,-1
17664,age,-1,-1
17691,age,-1,-1
17768,age,1,1
17814,age,-1,1
17825,age,-1,-1
17832,age,-1,-1
17841,age,-1,-1
17850,age,-1,1
17877,age,-1,-1
17901,age,-1,-1
17904,age,-1,-1
17952,age,-1,-1
18000,age,-1,-1
18081,age,-1,-1
18102,age,-1,-1
18117,age,-1,-1
18185,age,1,1
18210,age,-1,-1
18225,age,-1,-1
18309,age,-1,-1
18324,age,-1,-1
18336,age,-1,-1
18356,age,-1,1
18393,age,-1,-1
18432,age,-1,-1
18438,age,-1,-1
18495,age,-1,-1
18510,age,-1,-1
18519,age,-1,-1
18585,age,-1,1
18648,age,-1,-1
18655,age,1,1
18657,age,-1,-1
18660,age,-1,-1
18684,age,-1,-1
18720,age,-1,-1
18816,age,-1,1
18861,age,-1,-1
18867,age,-1,1
19011,age,-1,-1
19023,age,-1,-1
19038,age,-1,1
19089,age,-1,-1
19134,age,-1,-1
19200,age,-1,-1
19209,age,-1,-1
19224,age,-1,-1
19242,age,-1,-1
19245,age,-1,-1
19275,age,-1,-1
19407,age,-1,-1
19479,age,-1,-1
19500,age,-1,-1
19502,age,-1,-1
19536,age,-1,1
38,workclass,1,1
44,workclass,1,1
50,workclass,1,1
53,workclass,1,1
82,workclass,1,1
86,workclass,-1,1
118,workclass,-1,1
148,workclass,-1,1
149,workclass,1,1
153,workclass,1,1
155,workclass,-1,1
169,workclass,1,1
194,workclass,1,1
196,workclass,-1,1
198,workclass,1,1
218,workclass,1,1
244,workclass,1,1
265,workclass,1,1
274,workclass,1,1
289,workclass,-1,1
292,workclass,1,1
294,workclass,-1,1
321,workclass,1,1
331,workclass,1,1
337,workclass,1,1
340,workclass,1,1
345,workclass,-1,1
374,workclass,1,1
429,workclass,-1,1
430,workclass,-1,1
457,workclass,1,1
463,workclass,-1,1
478,workclass,-1,1
487,workclass,-1,1
493,workclass,-1,1
500,workclass,1,1
516,workclass,1,1
523,workclass,-1,1
539,workclass,1,1
558,workclass,1,1
573,workclass,1,1
602,workclass,1,1
620,workclass,1,1
628,workclass,1,1
634,workclass,1,1
671,workclass,1,1
693,workclass,1,1
730,workclass,1,1
738,workclass,-1,1
740,workclass,-1,1
752,workclass,-1,1
757,workclass,1,1
828,workclass,1,1
835,workclass,1,1
845,workclass,1,1
855,workclass,1,1
865,workclass,-1,1
878,workclass,1,1
886,workclass,-1,-1
896,workclass,1,1
914,workclass,1,1
916,workclass,1,1
937,workclass,1,1
967,workclass,1,1
974,workclass,1,1
976,workclass,1,1
982,workclass,-1,1
990,workclass,1,1
992,workclass,-1,1
994,workclass,-1,1
1001,workclass,1,1
1015,workclass,1,1
1021,workclass,-1,1
1023,workclass,-1,1
1032,workclass,1,1
1033,workclass,-1,1
1075,workclass,-1,-1
1089,workclass,1,1
1104,workclass,-1,1
1105,workclass,-1,1
1106,workclass,1,1
1137,workclass,-1,1
1139,workclass,1,1
1143,workclass,-1,1
1148,workclass,1,1
1214,workclass,1,1
1228,workclass,1,1
1234,workclass,-1,1
1236,workclass,-1,1
1237,workclass,-1,1
1238,workclass,1,1
1274,workclass,1,1
1312,workclass,1,1
1320,workclass,-1,1
1323,workclass,-1,1
1364,workclass,-1,1
1369,workclass,-1,-1
1399,workclass,-1,1
1408,workclass,1,1
1452,workclass,-1,-1
1453,workclass,-1,1
1454,workclass,1,-1
1460,workclass,1,-1
1481,workclass,1,-1
1506,workclass,1,-1
1522,workclass,-1,-1
1524,workclass,1,-1
1555,workclass,-1,-1
1558,workclass,1,-1
1578,workclass,1,-1
1604,workclass,-1,-1
1659,workclass,-1,-1
1661,workclass,-1,-1
1672,workclass,-1,-1
1679,workclass,1,-1
1728,workclass,1,-1
1729,workclass,-1,-1
1735,workclass,1,-1
1782,workclass,-1,-1
1791,workclass,1,-1
1843,workclass,-1,-1
1887,workclass,-1,1
1892,workclass,1,-1
1901,workclass,1,-1
1912,workclass,-1,-1
1921,workclass,-1,-1
1930,workclass,-1,-1
1960,workclass,-1,-1
1961,workclass,1,-1
1975,workclass,-1,-1
1991,workclass,1,-1
2008,workclass,1,-1
2011,workclass,1,-1
2013,workclass,1,-1
2071,workclass,-1,-1
2091,workclass,1,-1
2098,workclass,1,-1
2100,workclass,1,-1
2131,workclass,1,-1
2133,workclass,-1,-1
2135,workclass,-1,-1
2188,workclass,1,-1
2200,workclass,-1,-1
2212,workclass,-1,-1
2224,workclass,1,-1
2227,workclass,1,-1
2230,workclass,-1,-1
2235,workclass,1,-1
2240,workclass,1,-1
2243,workclass,1,-1
2245,workclass,1,-1
2252,workclass,1,-1
2279,workclass,1,-1
2284,workclass,1,-1
2306,workclass,1,-1
2314,workclass,1,-1
2317,workclass,-1,-1
2350,workclass,-1,-1
2359,workclass,1,-1
2364,workclass,1,-1
2377,workclass,-1,-1
2380,workclass,1,-1
2390,workclass,-1,-1
2392,workclass,-1,-1
2398,workclass,1,-1
2401,workclass,-1,-1
2405,workclass,1,-1
2419,workclass,-1,-1
2422,workclass,1,-1
2446,workclass,1,-1
2451,workclass,-1,-1
2456,workclass,1,-1
2460,workclass,-1,-1
2461,workclass,1,-1
2462,workclass,-1,-1
2471,workclass,1,-1
2486,workclass,1,-1
2492,workclass,1,-1
2503,workclass,1,-1
2509,workclass,1,-1
2516,workclass,1,-1
2521,workclass,-1,-1
2533,workclass,-1,-1
2536,workclass,1,-1
2581,workclass,1,-1
2613,workclass,-1,-1
2615,workclass,1,-1
2620,workclass,-1,-1
2621,workclass,1,-1
2624,workclass,1,-1
2631,workclass,-1,-1
2632,workclass,1,1
2633,workclass,1,-1
2659,workclass,1,-1
2681,workclass,1,-1
2689,workclass,1,-1
2692,workclass,1,-1
2702,workclass,-1,-1
2709,workclass,-1,-1
2726,workclass,1,-1
2773,workclass,-1,-1
2777,workclass,1,-1
2791,workclass,-1,-1
2797,workclass,1,-1
2799,workclass,1,-1
2812,workclass,1,-1
2821,workclass,1,-1
2854,workclass,1,-1
2881,workclass,1,-1
2931,workclass,1,-1
2938,workclass,1,-1
2946,workclass,1,-1
2950,workclass,1,-1
2968,workclass,-1,-1
2979,workclass,-1,-1
3011,workclass,1,-1
3038,workclass,-1,-1
3045,workclass,-1,-1
3047,workclass,-1,-1
3051,workclass,1,1
3052,workclass,-1,-1
3082,workclass,-1,-1
3089,workclass,-1,-1
3095,workclass,1,-1
3107,workclass,1,-1
3114,workclass,1,-1
3126,workclass,1,-1
3128,workclass,-1,-1
3157,workclass,1,-1
3169,workclass,-1,-1
3202,workclass,1,-1
3208,workclass,-1,-1
3230,workclass,-1,-1
3231,workclass,1,-1
3240,workclass,1,-1
3241,workclass,-1,1
3268,workclass,1,-1
3274,workclass,-1,-1
3295,workclass,1,-1
3304,workclass,1,1
3305,workclass,1,-1
3309,workclass,1,-1
3311,workclass,-1,-1
3337,workclass,1,-1
3353,workclass,1,-1
3358,workclass,1,-1
3393,workclass,1,-1
3437,workclass,1,-1
3448,workclass,1,-1
3466,workclass,1,-1
3478,workclass,1,-1
3513,workclass,1,-1
3514,workclass,1,-1
3532,workclass,1,-1
3564,workclass,-1,-1
3570,workclass,-1,-1
3571,workclass,-1,-1
3604,workclass,1,-1
3618,workclass,-1,-1
3619,workclass,-1,1
3620,workclass,-1,-1
3622,workclass,1,1
3628,workclass,1,-1
3675,workclass,-1,-1
3682,workclass,-1,-1
3688,workclass,1,-1
3692,workclass,1,-1
3694,workclass,1,-1
3698,workclass,1,-1
3735,workclass,1,-1
3747,workclass,1,-1
3783,workclass,-1,-1
3785,workclass,-1,-1
3808,workclass,1,-1
3811,workclass,1,-1
3823,workclass,1,-1
3826,workclass,1,-1
3833,workclass,1,-1
3835,workclass,1,-1
3885,workclass,-1,-1
3886,workclass,-1,-1
3901,workclass,1,-1
3907,workclass,-1,-1
3915,workclass,-1,1
3937,workclass,-1,-1
3945,workclass,1,-1
3952,workclass,-1,-1
3968,workclass,1,-1
4009,workclass,-1,-1
4012,workclass,-1,-1
4031,workclass,1,-1
4054,workclass,-1,-1
4063,workclass,1,-1
4073,workclass,-1,-1
4114,workclass,-1,-1
4134,workclass,-1,-1
4135,workclass,1,-1
4136,workclass,-1,-1
4147,workclass,1,-1
4152,workclass,-1,-1
4153,workclass,1,-1
4156,workclass,1,-1
4163,workclass,1,-1
4176,workclass,1,-1
4180,workclass,-1,-1
4204,workclass,1,-1
4207,workclass,1,-1
4222,workclass,1,-1
4228,workclass,-1,-1
4245,workclass,-1,1
4251,workclass,1,-1
4258,workclass,1,-1
4324,workclass,-1,-1
4351,workclass,-1,-1
4360,workclass,-1,-1
4369,workclass,1,-1
4413,workclass,1,-1
4416,workclass,1,-1
4420,workclass,1,-1
4434,workclass,1,-1
4454,workclass,-1,1
4474,workclass,1,-1
4485,workclass,1,-1
4486,workclass,-1,-1
4491,workclass,1,-1
4497,workclass,1,-1
4528,workclass,1,-1
4537,workclass,-1,-1
4564,workclass,-1,-1
4594,workclass,-1,-1
4639,workclass,-1,-1
4649,workclass,1,-1
4714,workclass,-1,-1
4721,workclass,1,1
4735,workclass,1,-1
4739,workclass,1,-1
4762,workclass,-1,-1
4763,workclass,1,-1
4777,workclass,-1,-1
4803,workclass,1,-1
4810,workclass,-1,-1
4817,workclass,-1,1
4836,workclass,1,-1
4896,workclass,1,-1
4897,workclass,-1,1
4907,workclass,-1,-1
4913,workclass,1,-1
4915,workclass,1,-1
4917,workclass,1,-1
4937,workclass,1,-1
4954,workclass,1,-1
4980,workclass,-1,-1
4981,workclass,1,-1
4982,workclass,-1,1
4993,workclass,1,-1
4994,workclass,-1,1
5008,workclass,1,-1
5030,workclass,1,-1
5038,workclass,-1,-1
5047,workclass,1,-1
5077,workclass,1,-1
5092,workclass,-1,-1
5099,workclass,1,-1
5119,workclass,1,-1
5156,workclass,1,-1
5167,workclass,1,-1
5176,workclass,1,-1
5194,workclass,1,-1
5217,workclass,-1,1
5218,workclass,1,-1
5221,workclass,1,-1
5266,workclass,-1,-1
5284,workclass,-1,-1
5287,workclass,1,-1
5347,workclass,-1,-1
5359,workclass,-1,-1
5402,workclass,1,-1
5415,workclass,1,-1
5417,workclass,1,-1
5440,workclass,-1,-1
5447,workclass,1,-1
5449,workclass,-1,-1
5458,workclass,-1,-1
5467,workclass,1,-1
5502,workclass,-1,-1
5515,workclass,1,-1
5528,workclass,1,-1
5533,workclass,1,-1
5539,workclass,1,1
5540,workclass,-1,-1
5596,workclass,-1,-1
5657,workclass,1,-1
5667,workclass,-1,-1
5669,workclass,-1,-1
5700,workclass,-1,1
5713,workclass,1,-1
5727,workclass,1,1
5729,workclass,-1,-1
5733,workclass,-1,-1
5738,workclass,1,-1
5744,workclass,1,-1
5749,workclass,-1,-1
5768,workclass,1,-1
5776,workclass,1,-1
5792,workclass,1,-1
5812,workclass,1,-1
5822,workclass,1,-1
5823,workclass,1,-1
5830,workclass,-1,-1
5851,workclass,-1,-1
5857,workclass,-1,-1
5871,workclass,-1,1
5873,workclass,1,-1
5880,workclass,-1,-1
5881,workclass,1,1
5882,workclass,-1,-1
5902,workclass,-1,-1
5928,workclass,1,-1
5929,workclass,-1,-1
5930,workclass,1,-1
5953,workclass,1,-1
5987,workclass,1,-1
5995,workclass,1,-1
6016,workclass,-1,-1
6031,workclass,1,-1
6039,workclass,1,-1
6040,workclass,-1,1
6052,workclass,1,-1
6074,workclass,1,-1
6089,workclass,1,-1
6091,workclass,-1,-1
6092,workclass,1,-1
6094,workclass,-1,-1
6098,workclass,-1,-1
6104,workclass,1,-1
6108,workclass,1,-1
6118,workclass,1,-1
6134,workclass,1,-1
6193,workclass,1,-1
6199,workclass,1,-1
6214,workclass,1,-1
6226,workclass,1,-1
6236,workclass,1,-1
6252,workclass,1,-1
6268,workclass,1,-1
6290,workclass,-1,-1
6319,workclass,1,-1
6335,workclass,1,-1
6353,workclass,1,-1
6379,workclass,1,-1
6384,workclass,1,-1
6419,workclass,1,-1
6428,workclass,-1,-1
6473,workclass,1,-1
6484,workclass,1,-1
6505,workclass,-1,-1
6508,workclass,1,-1
6510,workclass,1,-1
6522,workclass,1,-1
6523,workclass,-1,-1
6527,workclass,1,-1
6544,workclass,-1,-1
6550,workclass,-1,-1
6568,workclass,1,-1
6609,workclass,1,-1
6621,workclass,1,1
6622,workclass,-1,-1
6646,workclass,-1,-1
6694,workclass,1,1
6701,workclass,1,-1
6703,workclass,-1,-1
6716,workclass,-1,-1
6732,workclass,1,-1
6739,workclass,1,-1
6775,workclass,1,-1
6780,workclass,-1,-1
6781,workclass,1,-1
6782,workclass,1,-1
6787,workclass,-1,-1
6799,workclass,1,-1
6807,workclass,-1,-1
6809,workclass,-1,-1
6810,workclass,-1,1
6815,workclass,-1,-1
6817,workclass,-1,-1
6835,workclass,-1,-1
6844,workclass,1,-1
6849,workclass,1,-1
6858,workclass,-1,-1
6859,workclass,-1,-1
6860,workclass,1,-1
6866,workclass,1,-1
6868,workclass,-1,-1
6878,workclass,1,-1
6921,workclass,1,-1
6984,workclass,1,-1
6986,workclass,1,-1
6989,workclass,-1,1
7004,workclass,-1,-1
7024,workclass,-1,-1
7042,workclass,-1,-1
7046,workclass,1,-1
7049,workclass,-1,-1
7065,workclass,1,-1
7066,workclass,-1,1
7070,workclass,1,-1
7087,workclass,1,1
7089,workclass,-1,-1
7090,workclass,-1,1
7091,workclass,-1,-1
7125,workclass,1,-1
7152,workclass,-1,-1
7153,workclass,-1,-1
7163,workclass,1,-1
7173,workclass,-1,-1
7174,workclass,1,-1
7175,workclass,-1,-1
7195,workclass,1,-1
7200,workclass,1,-1
7203,workclass,1,-1
7233,workclass,1,-1
7237,workclass,1,-1
7251,workclass,-1,-1
7253,workclass,-1,-1
7292,workclass,-1,-1
7300,workclass,-1,-1
7310,workclass,1,-1
7314,workclass,1,1
7315,workclass,-1,1
7344,workclass,-1,-1
7345,workclass,-1,-1
7362,workclass,-1,-1
7364,workclass,-1,-1
7375,workclass,-1,-1
7395,workclass,1,-1
7397,workclass,-1,-1
7398,workclass,1,-1
7399,workclass,-1,1
7411,workclass,-1,-1
7414,workclass,1,-1
7422,workclass,1,-1
7426,workclass,-1,-1
7435,workclass,1,-1
7459,workclass,1,-1
7496,workclass,1,-1
7498,workclass,-1,-1
7535,workclass,1,-1
7545,workclass,-1,-1
7552,workclass,-1,-1
7639,workclass,1,-1
7644,workclass,-1,-1
7646,workclass,-1,-1
7654,workclass,-1,-1
7665,workclass,1,-1
7671,workclass,-1,1
7677,workclass,1,-1
7687,workclass,-1,-1
7699,workclass,1,-1
7701,workclass,1,-1
7720,workclass,-1,-1
7729,workclass,-1,-1
7763,workclass,1,-1
7771,workclass,-1,-1
7813,workclass,1,-1
7840,workclass,-1,-1
7860,workclass,1,-1
7864,workclass,-1,-1
7874,workclass,-1,1
7898,workclass,1,-1
7901,workclass,1,-1
7906,workclass,-1,-1
7930,workclass,1,-1
7955,workclass,1,-1
7976,workclass,1,-1
8008,workclass,-1,-1
8056,workclass,-1,-1
8078,workclass,1,-1
8109,workclass,-1,-1
8110,workclass,1,-1
8119,workclass,1,-1
8129,workclass,1,-1
8149,workclass,-1,-1
8158,workclass,-1,-1
8167,workclass,1,-1
8169,workclass,1,-1
8170,workclass,1,-1
8171,workclass,-1,1
8186,workclass,1,-1
8212,workclass,1,-1
8216,workclass,-1,-1
8257,workclass,-1,-1
8260,workclass,-1,-1
8263,workclass,1,-1
8269,workclass,1,-1
8287,workclass,1,-1
8291,workclass,1,-1
8299,workclass,1,-1
8332,workclass,-1,-1
8335,workclass,1,-1
8342,workclass,1,-1
8347,workclass,-1,-1
8360,workclass,1,-1
8372,workclass,1,-1
8376,workclass,-1,-1
8378,workclass,-1,-1
8385,workclass,1,-1
8388,workclass,1,-1
8410,workclass,-1,-1
8428,workclass,-1,-1
8437,workclass,1,-1
8476,workclass,-1,-1
8506,workclass,-1,-1
8514,workclass,1,-1
8520,workclass,1,-1
8559,workclass,1,-1
8566,workclass,1,1
8567,workclass,1,-1
8570,workclass,-1,-1
8578,workclass,1,-1
8614,workclass,-1,-1
8622,workclass,1,-1
8635,workclass,1,-1
8664,workclass,1,-1
8674,workclass,1,-1
8683,workclass,-1,-1
8696,workclass,-1,-1
8699,workclass,1,-1
8703,workclass,1,-1
8715,workclass,1,-1
8723,workclass,1,-1
8749,workclass,-1,-1
8766,workclass,1,-1
8819,workclass,1,-1
8821,workclass,-1,-1
8836,workclass,1,-1
8842,workclass,1,-1
8844,workclass,-1,-1
8851,workclass,-1,-1
8856,workclass,-1,-1
8858,workclass,-1,-1
8865,workclass,-1,-1
8866,workclass,-1,-1
8878,workclass,1,-1
8903,workclass,-1,-1
8915,workclass,1,-1
8926,workclass,-1,-1
8950,workclass,-1,-1
8951,workclass,1,-1
8954,workclass,1,-1
8962,workclass,-1,-1
8979,workclass,1,-1
8982,workclass,1,-1
8989,workclass,1,-1
9001,workclass,1,-1
9003,workclass,1,-1
9004,workclass,-1,-1
9005,workclass,1,1
9017,workclass,1,-1
9018,workclass,-1,-1
9019,workclass,1,1
9020,workclass,-1,-1
