variant,column,n_errors,correct,wrong_unintentional,missed,accuracy,intentional_precision,intentional_recall,intentional_f1
few-shots-qwen,subject_entity,192,124.0,68.0,0.0,0.6458,1.0,0.6458,0.7848
few-shots-qwen,subject_type,115,99.0,16.0,0.0,0.8609,1.0,0.8609,0.9252
few-shots-qwen,subject_location,241,189.0,52.0,0.0,0.7842,1.0,0.7842,0.8791
few-shots-qwen,value,163,126.0,37.0,0.0,0.773,1.0,0.773,0.872
few-shots-qwen,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
few-shots-qwen,metric,0,,,,,,,
baremin-r1-qwen,subject_entity,192,129.0,63.0,0.0,0.6719,1.0,0.6719,0.8037
baremin-r1-qwen,subject_type,115,95.0,20.0,0.0,0.8261,1.0,0.8261,0.9048
baremin-r1-qwen,subject_location,241,149.0,92.0,0.0,0.6183,1.0,0.6183,0.7641
baremin-r1-qwen,value,163,116.0,47.0,0.0,0.7117,1.0,0.7117,0.8315
baremin-r1-qwen,claim_domain,12,9.0,3.0,0.0,0.75,1.0,0.75,0.8571
baremin-r1-qwen,metric,0,,,,,,,
info-r1-qwen,subject_entity,192,123.0,69.0,0.0,0.6406,1.0,0.6406,0.781
info-r1-qwen,subject_type,115,98.0,17.0,0.0,0.8522,1.0,0.8522,0.9202
info-r1-qwen,subject_location,241,175.0,66.0,0.0,0.7261,1.0,0.7261,0.8413
info-r1-qwen,value,163,136.0,27.0,0.0,0.8344,1.0,0.8344,0.9097
info-r1-qwen,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
info-r1-qwen,metric,0,,,,,,,
few-shots-r1-qwen,subject_entity,192,106.0,86.0,0.0,0.5521,1.0,0.5521,0.7114
few-shots-r1-qwen,subject_type,115,89.0,26.0,0.0,0.7739,1.0,0.7739,0.8725
few-shots-r1-qwen,subject_location,241,171.0,70.0,0.0,0.7095,1.0,0.7095,0.8301
few-shots-r1-qwen,value,163,123.0,40.0,0.0,0.7546,1.0,0.7546,0.8601
few-shots-r1-qwen,claim_domain,12,8.0,4.0,0.0,0.6667,1.0,0.6667,0.8
few-shots-r1-qwen,metric,0,,,,,,,
